amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0277986,4,-0.177344,0.0450254,0.0198647,22,0.264665,0.310297,11.7079,122.166,130,5.81004,841.539,-0.451795,0.101752394091274,0.657277,2005.94,0.142566,0.100108,0.243079,1
0.022851,4,-0.276801,0.0493879,0.0116129,22,0.363199,0.345771,13.1321,37.5525,131,1.87,94.669,0.199892,0.261641449167903,0.285063,1015.94,0.390137,0.100257,0.112217,1
0.0202803,3,-0.120908,0.0554504,0.0199556,30,0.489597,0.160127,8.33589,42.2972,132,1.93,118.677,0.334855,0.248477153795544,0.17956,1103.58,0.349977,0.100098,0.0913846,1
0.00494656,4,-0.0233836,0.0323238,0.0176917,17,0.284968,0.405254,9.6765,62.415,133,2.93,167.832,-0.0807721,0.119628872636817,0.197379,1246.52,0.366049,0.100336,0.0455168,1
0.00144676,3,-0.146598,0.0369216,0.0123439,15,0.280698,0.413146,7.14113,56.968,134,3.75,164.394,0.362296,0.118573819578021,0.155767,1459.51,0.339957,0.100002,0.080469,1
0.0153456,1,-0.0371047,0.0778067,0.0127821,20,0.47655,0.294665,5.93591,112.388,135,2.38,327.477,-0.324435,0.1771259366262,0.083146,1241.69,0.336939,0.100079,0.0336145,1
0.0277074,4,0.134625,0.0727051,0.0120628,28,0.160252,0.137377,7.46598,125.429,137,18.8903,2749.76,0.452525,0.126613779551393,0.804008,5262.92,0.0447559,0.100018,0.504086,1
0.0196269,3,-0.141671,0.0104385,0.013766,9,0.254317,0.302052,9.53049,57.6242,138,8.81011,434.247,-0.137949,0.089888896315121,0.676321,2663.42,0.130183,0.100004,0.234386,1
0.0284394,1,0.165254,0.072782,0.0159326,28,0.328038,0.360282,8.4963,45.368,139,2.34,137.916,0.260214,0.153550280222841,0.164648,1147.32,0.323484,0.100242,0.0635389,1
0.02208,4,0.184308,0.0338245,0.0104121,18,0.26684,0.385734,5.06833,115.089,140,5.36003,548.242,-0.294895,0.133028280227644,0.21764,1830.57,0.206005,0.100034,0.115225,1
0.0100583,3,0.0494002,0.0792431,0.0175657,18,0.378756,0.378442,5.01064,91.5884,141,3.29,333.103,-0.0930189,0.192963198634483,0.0695796,1426.02,0.269927,0.100073,0.0283003,1
0.0216759,1,0.161214,0.0199667,0.0127625,24,0.457447,0.157737,7.72922,33.7452,143,2.14,98.8089,0.0366227,0.16601205776653,0.144093,1109.61,0.336502,0.100439,0.0504652,1
0.0217907,2,0.138159,0.0556608,0.0228447,9,0.283212,0.462021,7.97761,41.6675,144,2.87,119.417,-0.10281,0.155346862481711,0.141757,1219.43,0.343091,0.100232,0.0496725,1
