x,y,z
-0.10265,-0.095,-0.062152
-0.097086,-0.095,-0.070523
-0.090846,-0.095,-0.0784
-0.083966,-0.095,-0.085727
-0.076496,-0.095,-0.092453
-0.068496,-0.095,-0.09853
-0.060006,-0.095,-0.10392
-0.051106,-0.095,-0.10857
-0.041836,-0.095,-0.11247
-0.032286,-0.095,-0.11558
-0.022496,-0.095,-0.11787
-0.012556,-0.095,-0.11934
-0.0025256,-0.095,-0.11997
0.0075244,-0.095,-0.11976
0.017514,-0.095,-0.11872
0.027384,-0.095,-0.11683
0.037074,-0.095,-0.11413
0.046494,-0.095,-0.11063
0.055584,-0.095,-0.10635
0.064284,-0.095,-0.10133
0.072544,-0.095,-0.095595
0.080284,-0.095,-0.08919
0.087464,-0.095,-0.08216
0.094034,-0.095,-0.074553
0.099944,-0.095,-0.066424
0.10515,-0.095,-0.057828
0.10962,-0.095,-0.048827
0.11332,-0.095,-0.039484
0.11622,-0.095,-0.029863
0.11832,-0.095,-0.020034
0.11958,-0.095,-0.010063
0.13,-0.095,-1.6841e-07
0.12961,-0.095,0.010074
0.12844,-0.095,0.020087
0.1265,-0.095,0.029979
0.12379,-0.095,0.039691
0.12034,-0.095,0.049165
0.11617,-0.095,0.058342
0.1113,-0.095,0.067169
0.10576,-0.095,0.075592
0.099594,-0.095,0.08356
0.092814,-0.095,0.091026
0.085484,-0.095,0.097944
0.077634,-0.095,0.10427
0.069324,-0.095,0.10998
0.060594,-0.095,0.11502
0.051494,-0.095,0.11937
0.042094,-0.095,0.123
0.032434,-0.095,0.12589
0.022584,-0.095,0.12802
0.012594,-0.095,0.12939
0.0025344,-0.095,0.12997
-0.0075456,-0.095,0.12978
-0.017586,-0.095,0.1288
-0.027506,-0.095,0.12705
-0.037276,-0.095,0.12454
-0.046816,-0.095,0.12128
-0.056066,-0.095,0.11728
-0.064986,-0.095,0.11259
-0.073516,-0.095,0.10721
-0.081606,-0.095,0.10119
-0.089206,-0.095,0.094565
-0.096256,-0.095,0.087368
-0.10275,-0.095,0.079646
-0.10861,-0.095,0.071444
-0.11382,-0.095,0.062814
-0.11834,-0.095,0.053805
-0.12216,-0.095,0.044473
-0.12524,-0.095,0.034873
-0.12756,-0.095,0.025064
-0.12912,-0.095,0.015104
-0.1299,-0.095,0.0050528
-0.1299,-0.095,-0.0050292
-0.12912,-0.095,-0.01508
-0.12757,-0.095,-0.02504
-0.12524,-0.095,-0.03485
-0.12216,-0.095,-0.04445
-0.11835,-0.095,-0.053783
-0.11383,-0.095,-0.062792
-0.10862,-0.095,-0.071424
-0.10276,-0.095,-0.079627
-0.096276,-0.095,-0.08735
-0.089216,-0.095,-0.094548
-0.081626,-0.095,-0.10118
-0.073536,-0.095,-0.1072
-0.065006,-0.095,-0.11258
-0.056086,-0.095,-0.11728
-0.046836,-0.095,-0.12127
-0.037296,-0.095,-0.12453
-0.027536,-0.095,-0.12705
-0.017606,-0.095,-0.1288
-0.0075756,-0.095,-0.12978
0.0025044,-0.095,-0.12998
0.012574,-0.095,-0.12939
0.022564,-0.095,-0.12803
0.032414,-0.095,-0.1259
0.042074,-0.095,-0.12301
0.051474,-0.095,-0.11938
0.060574,-0.095,-0.11503
0.069304,-0.095,-0.10999
0.077614,-0.095,-0.10429
0.085464,-0.095,-0.09796
0.092804,-0.095,-0.091043
0.099574,-0.095,-0.083579
0.10575,-0.095,-0.075612
0.11129,-0.095,-0.06719
0.11616,-0.095,-0.058364
0.12034,-0.095,-0.049187
0.12379,-0.095,-0.039714
0.12649,-0.095,-0.030003
0.12844,-0.095,-0.020111
0.12961,-0.095,-0.010098
0.14,-0.095,-1.6841e-07
0.13964,-0.095,0.010102
0.13854,-0.095,0.020151
0.13673,-0.095,0.030095
0.1342,-0.095,0.039882
0.13097,-0.095,0.049461
0.12706,-0.095,0.058783
0.12249,-0.095,0.067798
0.11728,-0.095,0.076459
0.11145,-0.095,0.084722
0.10505,-0.095,0.092543
0.098104,-0.095,0.099882
0.090644,-0.095,0.1067
0.082704,-0.095,0.11296
0.074344,-0.095,0.11863
0.065584,-0.095,0.12369
0.056494,-0.095,0.1281
0.047094,-0.095,0.13184
0.037464,-0.095,0.1349
0.027634,-0.095,0.13725
0.017654,-0.095,0.13888
0.0075944,-0.095,0.13979
-0.0025156,-0.095,0.13998
-0.012606,-0.095,0.13943
-0.022636,-0.095,0.13816
-0.032546,-0.095,0.13616
-0.042286,-0.095,0.13346
-0.051806,-0.095,0.13006
-0.061056,-0.095,0.12598
-0.069986,-0.095,0.12125
-0.078556,-0.095,0.11588
-0.086716,-0.095,0.10991
-0.094416,-0.095,0.10337
-0.10163,-0.095,0.096285
-0.10832,-0.095,0.088701
-0.11443,-0.095,0.080654
-0.11995,-0.095,0.072187
-0.12485,-0.095,0.063343
-0.1291,-0.095,0.054169
-0.13267,-0.095,0.044713
-0.13555,-0.095,0.035024
-0.13772,-0.095,0.025152
-0.13918,-0.095,0.015149
-0.13991,-0.095,0.0050668
-0.13991,-0.095,-0.0050412
-0.13918,-0.095,-0.015123
-0.13773,-0.095,-0.025127
-0.13555,-0.095,-0.034999
-0.13268,-0.095,-0.044689
-0.12911,-0.095,-0.054145
-0.12486,-0.095,-0.06332
-0.11997,-0.095,-0.072165
-0.11445,-0.095,-0.080633
-0.10833,-0.095,-0.088681
-0.10165,-0.095,-0.096266
-0.094436,-0.095,-0.10335
-0.086736,-0.095,-0.1099
-0.078576,-0.095,-0.11587
-0.070006,-0.095,-0.12124
-0.061076,-0.095,-0.12597
-0.051836,-0.095,-0.13005
-0.042316,-0.095,-0.13345
-0.032576,-0.095,-0.13616
-0.022666,-0.095,-0.13815
-0.012636,-0.095,-0.13943
-0.0025456,-0.095,-0.13998
0.0075644,-0.095,-0.1398
0.017634,-0.095,-0.13889
0.027604,-0.095,-0.13725
0.037434,-0.095,-0.1349
0.047074,-0.095,-0.13185
0.056464,-0.095,-0.12811
0.065564,-0.095,-0.1237
0.074314,-0.095,-0.11865
0.082684,-0.095,-0.11298
0.090624,-0.095,-0.10672
0.098084,-0.095,-0.0999
0.10503,-0.095,-0.092563
0.11144,-0.095,-0.084743
0.11726,-0.095,-0.076481
0.12248,-0.095,-0.067821
0.12705,-0.095,-0.058806
0.13096,-0.095,-0.049486
0.13419,-0.095,-0.039907
0.13672,-0.095,-0.03012
0.13854,-0.095,-0.020177
0.13963,-0.095,-0.010128
0.15,-0.095,-1.6841e-07
0.14966,-0.095,0.010019
0.14866,-0.095,0.019992
0.14699,-0.095,0.029877
0.14467,-0.095,0.039628
0.1417,-0.095,0.049202
0.1381,-0.095,0.058557
0.13388,-0.095,0.06765
0.12906,-0.095,0.07644
0.12367,-0.095,0.08489
0.11772,-0.095,0.09296
0.11125,-0.095,0.10061
0.10428,-0.095,0.10782
0.096854,-0.095,0.11454
0.088984,-0.095,0.12076
0.080724,-0.095,0.12643
0.072094,-0.095,0.13154
0.063144,-0.095,0.13606
0.053924,-0.095,0.13997
0.044454,-0.095,0.14326
0.034784,-0.095,0.14591
0.024964,-0.095,0.14791
0.015024,-0.095,0.14925
0.0050244,-0.095,0.14992
-0.0050056,-0.095,0.14992
-0.015006,-0.095,0.14925
-0.024936,-0.095,0.14791
-0.034766,-0.095,0.14592
-0.044426,-0.095,0.14327
-0.053896,-0.095,0.13998
-0.063126,-0.095,0.13607
-0.072076,-0.095,0.13155
-0.080696,-0.095,0.12644
-0.088966,-0.095,0.12077
-0.096836,-0.095,0.11455
-0.10427,-0.095,0.10783
-0.11124,-0.095,0.10063
-0.11771,-0.095,0.092971
-0.12366,-0.095,0.084901
-0.12905,-0.095,0.076452
-0.13387,-0.095,0.067662
-0.13809,-0.095,0.05857
-0.1417,-0.095,0.049215
-0.14467,-0.095,0.039642
-0.14699,-0.095,0.029891
-0.14866,-0.095,0.020006
-0.14966,-0.095,0.010032
-0.15,-0.095,1.3832e-05
-0.14967,-0.095,-0.010005
-0.14866,-0.095,-0.019979
-0.147,-0.095,-0.029863
-0.14467,-0.095,-0.039615
-0.14171,-0.095,-0.049189
-0.1381,-0.095,-0.058544
-0.13389,-0.095,-0.067637
-0.12907,-0.095,-0.076429
-0.12368,-0.095,-0.084878
-0.11773,-0.095,-0.092949
-0.11126,-0.095,-0.10061
-0.10429,-0.095,-0.10781
-0.096856,-0.095,-0.11454
-0.088986,-0.095,-0.12075
-0.080726,-0.095,-0.12642
-0.072096,-0.095,-0.13153
-0.063156,-0.095,-0.13606
-0.053926,-0.095,-0.13997
-0.044456,-0.095,-0.14326
-0.034786,-0.095,-0.14591
-0.024966,-0.095,-0.14791
-0.015026,-0.095,-0.14925
-0.0050256,-0.095,-0.14992
0.0049944,-0.095,-0.14992
0.014994,-0.095,-0.14925
0.024934,-0.095,-0.14791
0.034754,-0.095,-0.14592
0.044424,-0.095,-0.14327
0.053894,-0.095,-0.13999
0.063124,-0.095,-0.13607
0.072074,-0.095,-0.13155
0.080694,-0.095,-0.12645
0.088964,-0.095,-0.12078
0.096834,-0.095,-0.11456
0.10426,-0.095,-0.10784
0.11123,-0.095,-0.10064
0.1177,-0.095,-0.092982
0.12365,-0.095,-0.084913
0.12905,-0.095,-0.076464
0.13387,-0.095,-0.067674
0.13809,-0.095,-0.058582
0.14169,-0.095,-0.049229
0.14466,-0.095,-0.039655
0.14699,-0.095,-0.029904
0.14866,-0.095,-0.02002
0.14966,-0.095,-0.010046
0.16,-0.095,-1.6841e-07
0.15968,-0.095,0.010046
0.15874,-0.095,0.020053
0.15717,-0.095,0.02998
0.15497,-0.095,0.039789
0.15217,-0.095,0.049441
0.14876,-0.095,0.058898
0.14477,-0.095,0.068123
0.14021,-0.095,0.077079
0.13509,-0.095,0.08573
0.12944,-0.095,0.094043
0.12328,-0.095,0.10198
0.11664,-0.095,0.10952
0.10953,-0.095,0.11663
0.10199,-0.095,0.12328
0.094054,-0.095,0.12944
0.085744,-0.095,0.13509
0.077094,-0.095,0.14021
0.068134,-0.095,0.14477
0.058914,-0.095,0.14876
0.049454,-0.095,0.15217
0.039804,-0.095,0.15497
0.029994,-0.095,0.15716
0.020064,-0.095,0.15874
0.010054,-0.095,0.15968
1.4407e-05,-0.095,0.16
-0.010036,-0.095,0.15968
-0.020046,-0.095,0.15874
-0.029966,-0.095,0.15717
-0.039776,-0.095,0.15497
-0.049426,-0.095,0.15217
-0.058886,-0.095,0.14877
-0.068116,-0.095,0.14478
-0.077066,-0.095,0.14021
-0.085716,-0.095,0.1351
-0.094036,-0.095,0.12945
-0.10198,-0.095,0.12329
-0.10952,-0.095,0.11664
-0.11663,-0.095,0.10954
-0.12327,-0.095,0.102
-0.12944,-0.095,0.094055
-0.13509,-0.095,0.085743
-0.1402,-0.095,0.077092
-0.14477,-0.095,0.068136
-0.14876,-0.095,0.058912
-0.15216,-0.095,0.049455
-0.15497,-0.095,0.039804
-0.15716,-0.095,0.029995
-0.15874,-0.095,0.020067
-0.15968,-0.095,0.010061
-0.16,-0.095,1.4832e-05
-0.15969,-0.095,-0.010031
-0.15874,-0.095,-0.020038
-0.15717,-0.095,-0.029966
-0.15498,-0.095,-0.039775
-0.15217,-0.095,-0.049427
-0.14877,-0.095,-0.058885
-0.14478,-0.095,-0.068109
-0.14022,-0.095,-0.077066
-0.1351,-0.095,-0.085718
-0.12945,-0.095,-0.094031
-0.12329,-0.095,-0.10197
-0.11665,-0.095,-0.10951
-0.10954,-0.095,-0.11662
-0.102,-0.095,-0.12327
-0.094056,-0.095,-0.12943
-0.085746,-0.095,-0.13508
-0.077096,-0.095,-0.1402
-0.068136,-0.095,-0.14476
-0.058916,-0.095,-0.14876
-0.049456,-0.095,-0.15216
-0.039806,-0.095,-0.15497
-0.029996,-0.095,-0.15716
-0.020066,-0.095,-0.15874
-0.010066,-0.095,-0.15968
-1.5593e-05,-0.095,-0.16
0.010024,-0.095,-0.15969
0.020034,-0.095,-0.15874
0.029964,-0.095,-0.15717
0.039774,-0.095,-0.15498
0.049424,-0.095,-0.15218
0.058884,-0.095,-0.14877
0.068104,-0.095,-0.14478
0.077064,-0.095,-0.14022
0.085714,-0.095,-0.13511
0.094034,-0.095,-0.12946
0.10197,-0.095,-0.1233
0.10951,-0.095,-0.11665
0.11662,-0.095,-0.10955
0.12327,-0.095,-0.10201
0.12943,-0.095,-0.094067
0.13508,-0.095,-0.085755
0.1402,-0.095,-0.077104
0.14476,-0.095,-0.06815
