X,Y,Z,r,absv
0.798549,-0.425866,-0.483486,0.016,0.0998557
0.810911,-0.424981,-0.483879,0.016,0.0998557
0.859949,-0.437366,-0.484005,0.016,0.108522
0.852531,-0.425866,-0.48348,0.016,0.108522
0.864893,-0.424989,-0.483892,0.016,0.108522
0.914604,-0.437221,-0.484004,0.016,0.065996
0.907798,-0.425385,-0.482936,0.016,0.065996
0.920155,-0.425104,-0.483929,0.016,0.065996
-0.950277,-0.390218,-0.483943,0.016,0.128298
-0.957118,-0.378356,-0.48368,0.016,0.128298
-0.944725,-0.378102,-0.484018,0.016,0.128298
-0.894875,-0.390623,-0.48404,0.016,0.0967536
-0.902408,-0.379197,-0.483536,0.016,0.0967536
-0.890053,-0.378199,-0.483862,0.016,0.0967536
-0.841034,-0.390617,-0.484003,0.016,0.119177
-0.848521,-0.379161,-0.483499,0.016,0.119177
-0.836165,-0.378211,-0.483915,0.016,0.119177
-0.78701,-0.390657,-0.484001,0.016,0.125867
-0.794462,-0.37918,-0.483431,0.016,0.125867
-0.782105,-0.378265,-0.483928,0.016,0.125867
-0.732892,-0.390645,-0.484001,0.016,0.117232
-0.740377,-0.37919,-0.483435,0.016,0.117232
-0.728023,-0.378238,-0.483931,0.016,0.117232
-0.679022,-0.39063,-0.484003,0.016,0.120267
-0.686521,-0.379181,-0.483497,0.016,0.120267
-0.674166,-0.378218,-0.483923,0.016,0.120267
-0.624997,-0.390629,-0.484004,0.016,0.118644
-0.632481,-0.379172,-0.483475,0.016,0.118644
-0.620125,-0.378224,-0.483929,0.016,0.118644
-0.571003,-0.390624,-0.484001,0.016,0.12183
-0.578476,-0.37916,-0.48347,0.016,0.12183
-0.56612,-0.378223,-0.483933,0.016,0.12183
-0.517038,-0.390619,-0.484002,0.016,0.12369
-0.524489,-0.37914,-0.48347,0.016,0.12369
-0.51213,-0.378228,-0.483916,0.016,0.12369
-0.462952,-0.390657,-0.483994,0.016,0.121783
-0.470456,-0.379213,-0.483453,0.016,0.121783
-0.458103,-0.378242,-0.483928,0.016,0.121783
-0.409026,-0.390615,-0.484004,0.016,0.117089
-0.416517,-0.379161,-0.483499,0.016,0.117089
-0.404161,-0.378207,-0.483924,0.016,0.117089
-0.355053,-0.390716,-0.484001,0.016,0.135797
