X,Y,Z,Qw,Qx,Qy,Qz,clump_type
2.05,-2.05,-2.10285714285714,0,-0,-0,0,237
2.1,-2.1,-2.17714285714286,0,-0,-0,0,238
2.15,-2.15,-2.25142857142857,0,-0,-0,0,239
2.2,-2.2,-2.32571428571429,0,-0,-0,0,240
2.25,-2.25,-2.4,0,-0,-0,0,241
2.3,-2.3,-2.47428571428571,0,-0,-0,0,242
2.35,-2.35,-2.54857142857143,0,-0,-0,0,243
2.4,-2.4,-2.62285714285714,0,-0,-0,0,244
2.45,-2.45,-2.69714285714286,0,-0,-0,0,245
2.5,-2.5,-2.77142857142857,0,-0,-0,0,246
2.55,-2.55,-2.84571428571429,0,-0,-0,0,247
2.6,-2.6,-2.92,0,-0,-0,0,248
2.65,-2.65,-2.99428571428571,0,-0,-0,0,249
2.7,-2.7,-3.06857142857143,0,-0,-0,0,250
2.75,-2.75,-3.14285714285714,0,-0,-0,0,251
2.8,-2.8,-3.21714285714286,0,-0,-0,0,252
2.85,-2.85,-3.29142857142857,0,-0,-0,0,253
2.9,-2.9,-3.36571428571429,0,-0,-0,0,254
2.95,-2.95,-3.44,0,-0,-0,0,255
3,-3,-3.51428571428571,0,-0,-0,0,256
3.05,-3.05,-3.58857142857143,0,-0,-0,0,257
3.1,-3.1,-3.66285714285714,0,-0,-0,0,258
3.15,-3.15,-3.73714285714286,0,-0,-0,0,259
3.2,-3.2,-3.81142857142857,0,-0,-0,0,260
3.25,-3.25,-3.88571428571429,0,-0,-0,0,261
3.3,-3.3,-3.96,0,-0,-0,0,262
3.35,-3.35,-4.03428571428571,0,-0,-0,0,263
3.4,-3.4,-4.10857142857143,0,-0,-0,0,264
3.45,-3.45,-4.18285714285714,0,-0,-0,0,265
3.5,-3.5,-4.25714285714286,0,-0,-0,0,266
3.55,-3.55,-4.33142857142857,0,-0,-0,0,267
3.6,-3.6,-4.40571428571429,0,-0,-0,0,268
3.65,-3.65,-4.48,0,-0,-0,0,269
3.7,-3.7,-4.55428571428571,0,-0,-0,0,270
3.75,-3.75,-4.62857142857143,0,-0,-0,0,271
3.8,-3.8,-4.70285714285714,0,-0,-0,0,272
3.85,-3.85,-4.77714285714286,0,-0,-0,0,273
3.9,-3.9,-4.85142857142857,0,-0,-0,0,274
3.95,-3.95,-4.92571428571429,0,-0,-0,0,275
